#IID	PAT	MAT	SEX	SuperPop	Population
HG00096	0	0	1	EUR	GBR
HG00097	0	0	2	EUR	GBR
HG00099	0	0	2	EUR	GBR
HG00100	0	0	2	EUR	GBR
HG00101	0	0	1	EUR	GBR
HG00171	0	0	2	EUR	FIN
HG00173	0	0	2	EUR	FIN
HG00174	0	0	2	EUR	FIN
HG00176	0	0	2	EUR	FIN
HG00177	0	0	2	EUR	FIN
HG00178	0	0	2	EUR	FIN
HG00179	0	0	2	EUR	FIN
HG00180	0	0	2	EUR	FIN
HG00181	0	0	1	EUR	FIN
HG00182	0	0	1	EUR	FIN
HG00183	0	0	1	EUR	FIN
HG00403	0	0	1	EAS	CHS
HG00404	0	0	2	EAS	CHS
HG00405	HG00403	HG00404	2	EAS	CHS
HG00406	0	0	1	EAS	CHS
HG00407	0	0	2	EAS	CHS
HG00408	HG00406	HG00407	2	EAS	CHS
HG00409	0	0	1	EAS	CHS
HG00410	0	0	2	EAS	CHS
HG00418	0	0	1	EAS	CHS
HG00419	0	0	2	EAS	CHS
HG00420	HG00418	HG00419	1	EAS	CHS
HG00421	0	0	1	EAS	CHS
HG00422	0	0	2	EAS	CHS
HG00423	HG00421	HG00422	2	EAS	CHS
HG00427	0	0	1	EAS	CHS
HG00637	0	0	1	AMR	PUR
HG00638	0	0	2	AMR	PUR
HG00639	HG00637	HG00638	2	AMR	PUR
HG00640	0	0	1	AMR	PUR
HG00641	0	0	2	AMR	PUR
HG00759	0	0	2	EAS	CDX
HG00766	0	0	2	EAS	CDX
HG00844	0	0	1	EAS	CDX
HG00851	0	0	2	EAS	CDX
HG00864	0	0	2	EAS	CDX
HG00867	HG00866	0	2	EAS	CDX
HG00879	0	0	2	EAS	CDX
HG01112	0	0	1	AMR	CLM
HG01113	0	0	2	AMR	CLM
HG01114	HG01112	HG01113	2	AMR	CLM
HG01119	0	0	2	AMR	CLM
HG01121	0	0	1	AMR	CLM
HG01122	0	0	2	AMR	CLM
HG01124	0	0	1	AMR	CLM
HG01125	0	0	2	AMR	CLM
HG01126	HG01124	HG01125	1	AMR	CLM
HG01500	0	0	1	EUR	IBS
HG01501	0	0	2	EUR	IBS
HG01502	HG01500	HG01501	1	EUR	IBS
HG01503	0	0	1	EUR	IBS
HG01504	0	0	2	EUR	IBS
HG01505	HG01503	HG01504	1	EUR	IBS
HG01565	0	0	1	AMR	PEL
HG01566	0	0	2	AMR	PEL
HG01567	HG01565	HG01566	2	AMR	PEL
HG01571	0	0	1	AMR	PEL
HG01572	0	0	2	AMR	PEL
HG01583	0	0	1	SAS	PJL
HG01586	0	0	1	SAS	PJL
HG01589	0	0	1	SAS	PJL
HG01593	0	0	2	SAS	PJL
HG01595	0	0	2	EAS	KHV
HG01596	0	0	1	EAS	KHV
HG01597	0	0	2	EAS	KHV
HG01598	0	0	2	EAS	KHV
HG01599	0	0	2	EAS	KHV
HG01600	0	0	2	EAS	KHV
HG01879	0	0	1	AFR	ACB
HG01880	0	0	2	AFR	ACB
HG01881	HG01879	HG01880	2	AFR	ACB
HG01882	0	0	1	AFR	ACB
HG01883	0	0	2	AFR	ACB
HG01884	HG01885	HG01956	2	AFR	ACB
HG01885	0	0	1	AFR	ACB
HG01886	0	0	2	AFR	ACB
HG01887	HG02014	HG01886	1	AFR	ACB
HG01888	HG01882	HG01883	1	AFR	ACB
HG02461	0	0	1	AFR	GWD
HG02462	0	0	2	AFR	GWD
HG02463	HG02461	HG02462	1	AFR	GWD
HG02464	0	0	1	AFR	GWD
HG02465	0	0	2	AFR	GWD
HG02466	HG02464	HG02465	1	AFR	GWD
HG02470	0	0	1	AFR	ACB
HG02471	0	0	2	AFR	ACB
HG02476	0	0	2	AFR	ACB
HG02477	0	0	2	AFR	ACB
HG02479	0	0	2	AFR	ACB
HG02481	0	0	1	AFR	ACB
HG02484	0	0	1	AFR	ACB
HG02485	0	0	2	AFR	ACB
HG02489	0	0	1	AFR	ACB
HG02490	0	0	1	SAS	PJL
HG02491	0	0	2	SAS	PJL
HG02492	HG02490	HG02491	1	SAS	PJL
HG02493	0	0	1	SAS	PJL
HG02494	0	0	2	SAS	PJL
HG02495	HG02493	HG02494	2	SAS	PJL
